customer_id,signup_date,acquisition_channel,country,is_active,age
C00001,12/06/2024,Organic,Tanzania,1,43
C00002,01-11-2023,Referral,Rwanda,1,43
C00003,2024-04-11,Email,Rwanda,1,34
C00004,03-21-2024,Paid Ads,Uganda,1,48
C00005,2023-05-25,Organic,Kenya,1,36
C00006,09-30-2023,Organic,Rwanda,1,61
C00007,2024-05-02,Organic,Uganda,1,37
C00008,08-19-2023,Email,Tanzania,1,40
C00009,2023-05-23,Paid Ads,Tanzania,1,42
C00010,26/07/2024,Email,Tanzania,1,45
C00011,2023-10-12,Organic,Tanzania,1,54
C00012,09-07-2023,Referral,Uganda,1,29
C00013,18/02/2024,Email,Kenya,0,
C00014,04/07/2024,Organic,Uganda,1,18
C00015,2023-08-26,Organic,Kenya,0,19
C00016,2023-12-23,Organic,Tanzania,0,27
C00017,06-15-2023,Organic,Rwanda,1,51
C00018,05-06-2023,Paid Ads,Rwanda,1,49
C00019,2024-01-26,Paid Ads,Rwanda,1,42
C00020,2023-07-05,Organic,Kenya,1,27
C00021,19/11/2023,Paid Ads,Tanzania,1,18
C00022,05-13-2024,Organic,Uganda,0,49
C00023,2023-09-04,Organic,Rwanda,1,54
C00024,18/07/2024,Organic,Kenya,1,29
C00025,2024-06-23,Paid Ads,Rwanda,1,35
C00026,2023-10-12,Email,Uganda,0,47
C00027,2024-05-03,Organic,Tanzania,1,30
C00028,2024-05-30,Paid Ads,Uganda,1,20
C00029,2024-06-15,Paid Ads,Tanzania,1,38
C00030,20/01/2023,Organic,Tanzania,1,59
C00031,14/06/2023,Paid Ads,Tanzania,1,31
C00032,10-10-2023,Organic,Rwanda,0,57
C00033,12-22-2023,Organic,Uganda,1,27
C00034,07-20-2023,Referral,Rwanda,0,19
C00035,2023-02-25,Referral,Uganda,1,62
C00036,2023-06-24,Email,Kenya,0,54
C00037,09/03/2024,Organic,Kenya,1,28
C00038,03-27-2023,Organic,Uganda,1,18
C00039,24/08/2023,Paid Ads,Uganda,0,43
C00040,2024-08-04,Paid Ads,Uganda,1,59
C00041,01-23-2023,Organic,Uganda,1,30
C00042,10/02/2024,Paid Ads,Tanzania,1,45
C00043,2023-06-29,Organic,Rwanda,1,53
C00044,03-25-2023,Referral,Tanzania,1,38
C00045,04-23-2024,Organic,Rwanda,1,27
C00046,07-05-2024,Paid Ads,Rwanda,1,29
C00047,11-07-2023,Organic,Rwanda,1,63
C00048,2024-05-30,Paid Ads,Tanzania,1,44
C00049,02-05-2024,Paid Ads,Uganda,1,20
C00050,03/07/2023,Organic,Tanzania,1,45
C00051,01-12-2023,Referral,Tanzania,0,19
C00052,26/06/2024,Email,Rwanda,1,45
C00053,02-24-2023,Referral,Kenya,1,48
C00054,2023-09-16,Email,Kenya,0,60
C00055,07-31-2024,Paid Ads,Tanzania,1,38
C00056,2024-08-23,Referral,Rwanda,1,24
C00057,2024-03-17,Organic,Tanzania,1,48
C00058,28/02/2024,Organic,Tanzania,1,31
C00059,30/01/2024,Organic,Uganda,1,56
C00060,25/01/2024,Organic,Rwanda,1,56
C00061,04-04-2024,Organic,Kenya,1,26
C00062,2023-11-05,Organic,Kenya,1,40
C00063,27/10/2023,Email,Kenya,1,29
C00064,2024-02-20,Organic,Tanzania,1,46
C00065,2023-01-22,Organic,Rwanda,1,55
C00066,08/03/2023,Paid Ads,Uganda,1,56
C00067,08-02-2024,Organic,Kenya,1,39
C00068,05-21-2024,Email,Rwanda,1,21
C00069,2024-07-26,Organic,Kenya,1,
C00070,2023-06-19,Referral,Uganda,0,24
C00071,23/02/2024,Email,Rwanda,0,57
C00072,05-01-2023,Organic,Tanzania,1,25
C00073,2023-11-20,Organic,Tanzania,1,52
C00074,06-10-2024,Email,Kenya,1,26
C00075,25/03/2024,Email,Kenya,0,30
C00076,19/04/2023,Email,Rwanda,1,56
C00077,04/02/2024,Email,Uganda,1,37
C00078,2024-06-24,Organic,Kenya,1,38
C00079,19/05/2023,Organic,Rwanda,1,64
C00080,09-08-2023,Organic,Uganda,1,36
C00081,08-26-2023,Email,Kenya,1,19
C00082,08-05-2024,Paid Ads,Kenya,1,61
C00083,22/10/2023,Organic,Rwanda,1,57
C00084,31/08/2023,Organic,Kenya,1,47
C00085,01-04-2023,Organic,Tanzania,1,40
C00086,04-11-2023,Organic,Uganda,1,57
C00087,22/07/2024,Email,Uganda,0,30
C00088,05-08-2023,Paid Ads,Tanzania,1,50
C00089,30/04/2024,Email,Rwanda,1,49
C00090,11-20-2023,Paid Ads,Tanzania,1,45
C00091,11-25-2023,Organic,Tanzania,1,41
C00092,21/06/2023,Email,Uganda,1,59
C00093,2023-01-20,Email,Rwanda,1,45
C00094,2024-04-07,Paid Ads,Kenya,1,47
C00095,2024-06-20,Email,Tanzania,1,58
C00096,2023-11-23,Paid Ads,Tanzania,1,46
C00097,2024-08-21,Paid Ads,Rwanda,1,51
C00098,04-20-2023,Paid Ads,Tanzania,1,39
C00099,05-01-2024,Organic,Rwanda,1,42
C00100,2023-09-17,Organic,Kenya,1,31
C00101,12/10/2023,Organic,Rwanda,1,27
C00102,05-02-2023,Paid Ads,Kenya,1,27
C00103,24/12/2023,Organic,Rwanda,1,25
C00104,18/02/2024,Paid Ads,Tanzania,1,31
C00105,09-07-2023,Referral,Kenya,0,62
C00106,05-03-2024,Organic,Tanzania,0,55
C00107,13/07/2023,Paid Ads,Kenya,1,49
C00108,08-17-2024,Email,Rwanda,1,62
C00109,07-12-2024,Organic,Rwanda,1,49
C00110,07/05/2023,Organic,Rwanda,1,20
C00111,05-17-2023,Organic,Uganda,1,37
C00112,13/07/2023,Organic,Uganda,1,30
C00113,2024-04-23,Referral,Kenya,0,40
C00114,16/07/2023,Email,Uganda,1,36
C00115,2023-10-07,Paid Ads,Rwanda,1,33
C00116,14/12/2023,Email,Uganda,0,53
C00117,06-28-2023,Email,Uganda,1,52
C00118,2023-08-10,Organic,Tanzania,0,64
C00119,04-25-2024,Email,Kenya,1,64
C00120,2024-04-06,Paid Ads,Kenya,1,24
C00121,12/05/2024,Email,Kenya,1,54
C00122,2023-12-22,Email,Uganda,1,25
C00123,2023-08-16,Organic,Rwanda,1,42
C00124,08/02/2024,Organic,Tanzania,1,40
C00125,05/08/2024,Organic,Kenya,1,27
C00126,09/06/2023,Paid Ads,Uganda,1,47
C00127,20/12/2023,Email,Rwanda,1,50
C00128,2023-10-10,Email,Tanzania,1,28
C00129,02-15-2024,Organic,Tanzania,0,52
C00130,2024-07-01,Paid Ads,Kenya,1,44
C00131,01-04-2024,Paid Ads,Kenya,1,20
C00132,27/05/2024,Organic,Rwanda,0,64
C00133,17/02/2024,Organic,Uganda,0,25
C00134,05-29-2024,Organic,Rwanda,1,30
C00135,07-26-2024,Referral,Kenya,1,59
C00136,07/02/2023,Organic,Rwanda,1,20
C00137,09-05-2023,Paid Ads,Uganda,1,37
C00138,2024-01-15,Email,Tanzania,1,63
C00139,03-22-2023,Organic,Tanzania,1,62
C00140,2023-07-15,Referral,Tanzania,0,52
C00141,26/11/2023,Referral,Tanzania,1,30
C00142,2023-12-21,Organic,Kenya,0,37
C00143,02-19-2023,Paid Ads,Kenya,1,41
C00144,2023-02-23,Organic,Uganda,1,26
C00145,2023-01-20,Organic,Uganda,1,47
C00146,2024-04-09,Organic,Uganda,0,42
C00147,2024-01-03,Paid Ads,Uganda,1,33
C00148,14/06/2023,Paid Ads,Rwanda,1,25
C00149,07/11/2023,Organic,Uganda,0,61
C00150,31/10/2023,Organic,Tanzania,1,45
C00151,2024-01-25,Referral,Tanzania,1,29
C00152,2023-05-08,Organic,Tanzania,0,41
C00153,21/06/2024,Organic,Rwanda,0,46
C00154,21/03/2024,Paid Ads,Uganda,1,32
C00155,07-17-2024,Referral,Tanzania,1,35
C00156,2023-09-21,Organic,Tanzania,1,24
C00157,15/07/2023,Paid Ads,Tanzania,1,30
C00158,01-17-2023,Email,Tanzania,1,36
C00159,2023-10-26,Organic,Kenya,1,
C00160,01/07/2023,Email,Uganda,1,60
C00161,2024-08-17,Organic,Uganda,1,22
C00162,02/01/2024,Paid Ads,Rwanda,1,43
C00163,19/10/2023,Paid Ads,Kenya,1,19
C00164,19/04/2024,Paid Ads,Rwanda,1,50
C00165,06-28-2023,Organic,Tanzania,1,
C00166,05-27-2023,Email,Rwanda,1,54
C00167,06/02/2023,Organic,Tanzania,1,42
C00168,02-04-2023,Organic,Tanzania,1,42
C00169,2024-04-01,Organic,Uganda,1,56
C00170,17/05/2023,Paid Ads,Uganda,1,47
C00171,07-01-2023,Paid Ads,Uganda,1,58
C00172,11/02/2023,Organic,Uganda,1,21
C00173,2024-08-11,Paid Ads,Uganda,1,36
C00174,25/07/2024,Organic,Kenya,1,44
C00175,2023-07-25,Paid Ads,Uganda,0,64
C00176,30/04/2023,Organic,Rwanda,1,56
C00177,19/07/2024,Paid Ads,Tanzania,1,41
C00178,2023-06-30,Organic,Uganda,1,54
C00179,09-01-2023,Referral,Kenya,1,42
C00180,30/03/2023,Organic,Rwanda,1,46
C00181,2023-10-20,Organic,Rwanda,1,48
C00182,01/07/2024,Organic,Tanzania,1,62
C00183,08-20-2023,Referral,Rwanda,1,52
C00184,25/06/2023,Email,Rwanda,1,45
C00185,02-08-2023,Organic,Rwanda,1,55
C00186,02-15-2024,Paid Ads,Rwanda,1,61
C00187,20/09/2023,Email,Kenya,1,21
C00188,12-03-2023,Paid Ads,Tanzania,1,45
C00189,02-13-2023,Paid Ads,Uganda,1,48
C00190,18/06/2023,Organic,Rwanda,1,40
C00191,11/01/2024,Organic,Kenya,0,31
