customer_id,Order Date,order_id,List Price,Discount,Final Price,deal_status,event_id,event_type,Expected Delivery Date,sales_rep,signup_date,acquisition_channel,country
C001,2026−01−01,O1001,175,25,150,Won,E2001,Purchase,2026−01−10,Alice,2024−01−02,Organic,Kenya
C002,2026−01−03,O1002,210,10,200,Won,E2002,Checkout,2026−02−12,Brian,2024−01−05,Paid Ads,Kenya
C003,2026−01−05,O1003,145,15,130,Won,E2003,Purchase,2026−01−15,John,2024−01−08,Email,Uganda
C004,2026−01−06,O1004,320,40,280,Lost,E2004,Checkout,2026−02−18,Ethan,2024−01−12,Organic,Kenya
C005,2026−01−08,O1005,195,20,175,Won,E2005,Purchase,2026−01−20,Brian,2024−01−15,Paid Ads,Tanzania
C006,2026−01−10,O1006,265,15,250,Pending,E2006,Add_to_Cart,2026−02−25,Alice,2024−01−18,Referral,Kenya
C007,2026−01−12,O1007,110,10,100,Won,E2007,Purchase,2026−01−28,Diana,2024−01−20,Organic,Rwanda
C008,2026−01−14,O1008,450,50,400,Won,E2008,Purchase,2026−03−02,Brian,2024−01−22,Paid Ads,Kenya
C009,2026−01−15,O1009,180,20,160,Lost,E2009,Checkout,2026−01−22,Alice,2024−01−25,Email,Uganda
C010,2026−01−17,O1010,240,30,210,Won,E2010,Purchase,2026−02−10,Diana,2024−01−28,Organic,Kenya
C011,2026−01−19,O1011,155,15,140,Won,E2011,Purchase,2026−03−15,John,2024−01−30,Paid Ads,Tanzania
C012,2026−01−20,O1012,350,50,300,Pending,E2012,Checkout,2026−01−30,Alice,2024−02−01,Referral,Kenya
C013,2026−01−22,O1013,190,10,180,Won,E2013,Purchase,2026−02−05,John,2024−02−02,Organic,Kenya
C014,2026-01-24,O1014,550,75,475,Won,E2014,Purchase,2026-03-08,Brian,2024-02-04,Paid Ads,Uganda
C015,2026-01-25,O1015,150,20,130,Lost,E2015,Add_to_Cart,2026-02-20,Ethan,2024-02-05,Email,Kenya
C016,2026-01-27,O1016,290,25,265,Won,E2016,Purchase,2026-01-31,Diana,2024-02-07,Organic,Tanzania
C017,2026-01-28,O1017,205,15,190,Pending,E2017,Checkout,2026-03-22,Brian,2024-02-10,Paid Ads,Kenya
C018,2026-01-29,O1018,380,45,335,Won,E2018,Purchase,2026-02-14,Alice,2024-02-12,Referral,Uganda
C019,2026-01-30,O1019,125,10,115,Won,E2019,Purchase,2026-03-10,Diana,2024-02-14,Organic,Kenya
C020,2026-01-31,O1020,650,80,570,Lost,E2020,Checkout,2026-02-28,John,2024-02-16,Paid Ads,Kenya
