event_id,customer_id,event_type,event_time,session_id,device,is_valid
1,C00185,checkout,20/07/2023 14:49,394043,Desktop,1
2,C03606,visit,06/05/2023 17:02,121723,Mobile,0
3,C02601,visit,14/05/2023 10:47,730085,Mobile,1
4,C06510,visit,2023-06-21 14:42:00,729145,Mobile,1
5,C08760,purchase,10/09/2023 21:18,481014,Mobile,1
6,C02419,visit,2023-06-03 05:23:00,641343,Mobile,1
7,C01897,visit,2023-03-02 15:18:00,655809,Mobile,1
8,C05880,view_product,06/07/2023 18:43,296307,Desktop,1
9,C04051,checkout,20/06/2023 20:26,166992,Mobile,1
10,C08498,add_to_cart,2023-04-23 07:01:00,429802,Desktop,1
11,C05784,add_to_cart,12/06/2023 12:57,109243,Desktop,1
12,C07309,add_to_cart,2023-07-07 05:53:00,640201,Desktop,1
13,C03705,view_product,23/07/2023 07:01,946971,Mobile,1
14,C03843,checkout,2023-09-16 01:46:00,294878,Mobile,1
15,C04504,purchase,06/08/2023 00:43,855816,Desktop,1
16,C00285,checkout,20/06/2023 05:56,187813,Desktop,1
17,C00643,visit,2023-04-05 23:40:00,311066,Desktop,1
18,C03995,visit,09/04/2023 19:00,218303,Mobile,1
19,C02942,visit,2023-05-04 03:19:00,718604,Mobile,1
20,C05713,purchase,2023-08-02 07:36:00,768942,Desktop,1
21,C08206,visit,14/07/2023 22:35,822062,Desktop,1
22,C07170,view_product,03/09/2023 15:09,497440,Desktop,1
23,C05587,checkout,11/06/2023 15:46,964907,Mobile,1
24,C06575,add_to_cart,2023-08-02 21:56:00,599500,Desktop,1
25,C01972,checkout,2023-08-03 20:46:00,217520,Mobile,1
26,C06025,view_product,2023-09-12 13:22:00,887957,Desktop,1
27,C08270,add_to_cart,2023-04-14 17:37:00,905052,Desktop,1
28,C07581,checkout,29/05/2023 20:05,838806,Mobile,1
29,C06037,purchase,08/06/2023 05:16,919967,Mobile,1
30,C08355,visit,2023-08-08 12:33:00,785426,Desktop,1
31,C08070,checkout,17/05/2023 12:07,831635,Mobile,1
32,C04763,visit,2023-03-21 07:51:00,839493,Mobile,1
33,C08815,add_to_cart,29/07/2023 05:30,920315,Mobile,1
34,C04809,add_to_cart,2023-05-29 09:26:00,410767,Mobile,0
35,C07499,visit,2023-09-01 19:04:00,151475,Desktop,1
36,C00202,view_product,28/06/2023 01:17,913667,Desktop,1
