order_id,customer_id,order_date,order_value,discount,order_status
O000001,C09422,30-05-2024,371.81,0,Cancelled
O000002,C09549,30-10-2023,27.34,5,Returned
O000003,C03093,01-03-2023,372.18,10,Completed
O000004,C07062,2024-04-11,21.42,10,Completed
O000005,C01674,25-08-2023,271.28,5,Completed
O000006,C09281,2023-05-20,421.09,,Completed
O000007,C06003,2024-05-21,416.49,,Completed
O000008,C07309,21-03-2024,422.24,0,Completed
O000009,C06660,25-11-2023,305.18,0,Completed
O000010,C00500,2023-07-28,100.07,0,Completed
O000011,C00326,17-09-2023,258.91,0,Completed
O000012,C06034,2023-11-22,262.94,5,Completed
O000013,C00888,2023-10-16,169.14,10,Completed
O000014,C09188,2024-03-01,217.81,0,Completed
O000015,C03674,2023-08-30,437.37,0,Completed
O000016,C07936,21-01-2024,263.78,,Completed
O000017,C00929,12-10-2023,355.32,5,Completed
O000018,C04404,11-01-2024,252.95,5,Completed
O000019,C05427,28-02-2023,312.56,0,Completed
O000020,C07991,2024-02-21,55.37,0,Returned
O000021,C09847,2023-05-06,466.38,,Completed
O000022,C00625,2023-06-23,223.61,10,Completed
O000023,C04345,2023-02-21,376.67,10,Completed
O000024,C02372,2023-12-29,336.88,20,Completed
O000025,C04700,2024-05-30,401.64,0,Completed
O000026,C08251,2023-07-19,27.09,,Completed
O000027,C05117,13-09-2023,468.32,0,Completed
O000028,C06238,2023-10-26,416.58,10,Completed
O000029,C09470,18-12-2023,418.54,0,Completed
O000030,C08879,03-10-2023,238.89,5,Completed
O000031,C07628,2024-02-23,400.2,0,Completed
O000032,C04611,02-03-2023,291.84,,Completed
O000033,C00533,16-06-2023,256.7,0,Completed
O000034,C04498,2023-04-21,394.61,5,Cancelled
O000035,C03853,21-01-2024,317.62,0,Completed
O000036,C03405,2023-05-14,47.81,5,Completed
O000037,C02769,05-06-2023,164.11,0,Completed
O000038,C02656,2024-01-28,314.83,0,Completed
O000039,C02141,2023-09-25,452.86,10,Completed
O000040,C07725,02-06-2023,467.17,0,Completed
O000041,C00574,05-08-2023,421.07,0,Completed
O000042,C01566,18-04-2023,134.61,0,Cancelled
O000043,C09998,2023-12-02,241.96,0,Completed
O000044,C00437,2023-07-27,222.36,0,Completed
O000045,C03590,15-05-2023,224.96,0,Cancelled
O000046,C01399,22-08-2023,34.39,,Completed
O000047,C09747,2023-03-11,95.08,0,Completed
O000048,C07692,2024-01-03,85.1,0,Completed
O000049,C03267,25-05-2024,312.46,10,Completed
O000050,C06409,01-06-2024,211.78,0,Completed
O000051,C03498,15-07-2023,168.95,0,Completed
O000052,C04957,21-09-2023,227.51,0,Completed
O000053,C01975,2023-04-19,168.86,0,Completed
O000054,C09059,21-04-2024,381.16,5,Completed
O000055,C09246,2023-10-30,91.85,10,Completed
O000056,C05411,13-10-2023,37.51,,Completed
O000057,C07743,2024-05-06,328.85,0,Completed
O000058,C02535,2023-07-01,122.98,5,Completed
O000059,C07574,31-05-2024,325.24,10,Completed
O000060,C08220,09-06-2023,38.69,5,Completed
O000061,C03218,2024-02-03,131.08,20,Completed
O000062,C02336,2024-04-08,85.4,5,Cancelled
O000063,C04677,2023-03-21,152.43,10,Completed
O000064,C06396,2023-10-14,171.14,0,Completed
O000065,C07330,2024-04-26,252.65,5,Completed
O000066,C02158,2023-04-25,264.87,,Completed
O000067,C02692,2023-10-13,318.75,0,Completed
O000068,C06542,2023-03-14,172.51,0,Completed
O000069,C03343,2023-05-18,270.69,0,Completed
O000070,C01556,10-08-2023,495.16,20,Completed
O000071,C00276,10-08-2023,113.21,0,Completed
O000072,C02737,2023-02-12,84.83,5,Completed
O000073,C09540,03-05-2023,422.86,20,Cancelled
O000074,C03090,13-02-2023,211.08,10,Completed
O000075,C07579,22-10-2023,424.97,5,Completed
O000076,C07969,2023-02-28,218.1,5,Completed
O000077,C02173,19-04-2024,20.63,0,Completed
O000078,C00153,2023-09-05,193.69,,Completed
O000079,C01605,09-01-2024,308.96,0,Completed
O000080,C06802,01-01-2024,229.3,0,Completed
O000081,C07725,11-05-2023,235.08,0,Cancelled
O000082,C01827,2023-02-15,499.17,10,Completed
O000083,C08439,09-02-2023,276.62,0,Cancelled
O000084,C05510,2023-04-01,351.5,20,Completed
O000085,C01371,2023-06-16,363.28,0,Returned
O000086,C05323,17-01-2024,10.08,0,Completed
O000087,C05129,14-05-2024,280.71,0,Completed
O000088,C05812,18-07-2023,481.9,0,Completed
O000089,C01692,2023-10-06,377.9,0,Cancelled
O000090,C06675,2023-06-27,176.81,0,Completed
O000091,C03391,16-01-2024,188.64,5,Completed
